"au_code","au_name","Maori_2001","Maori_2006","Maori_2013","Total_2001","Total_2006","Total_2013","per_01","per_06","per_13"
518901,"Lynfield North",69,45,30,4968,5397,5703,0.0138888888888889,0.00833796553640912,0.00526038926880589
518902,"Lynfield South",30,24,30,3966,4221,4218,0.0075642965204236,0.00568585643212509,0.00711237553342817
519001,"Waikowhai West",30,21,27,3117,3378,3567,0.00962463907603465,0.00621669626998224,0.00756938603868797
519002,"Waikowhai East",96,75,54,4041,4461,4560,0.0237564959168523,0.0168123739071957,0.0118421052631579
519200,"Mt St John",48,33,60,3834,4146,4767,0.0125195618153365,0.00795947901591896,0.012586532410321
519300,"One Tree Hill Central",27,15,27,2382,2553,2664,0.0113350125944584,0.00587544065804935,0.0101351351351351
519400,"One Tree Hill East",117,84,72,5400,5493,5742,0.0216666666666667,0.0152921900600765,0.0125391849529781
519500,"Penrose",12,21,12,570,672,693,0.0210526315789474,0.03125,0.0173160173160173
519710,"Onehunga North West",51,51,39,3363,3471,3765,0.0151650312221231,0.0146931719965428,0.0103585657370518
519720,"Onehunga North East",60,48,51,3417,3558,3576,0.0175592625109745,0.0134907251264755,0.014261744966443
519810,"Onehunga South West",84,60,60,3426,3606,3849,0.0245183887915937,0.0166389351081531,0.0155884645362432
519820,"Onehunga South East",84,75,51,3003,3282,3540,0.027972027972028,0.0228519195612431,0.0144067796610169
519900,"Oranga",144,156,102,3630,3849,4056,0.0396694214876033,0.0405300077942323,0.0251479289940828
520000,"Te Papapa",120,75,72,3081,3156,3384,0.0389483933787731,0.0237642585551331,0.0212765957446809
520201,"Ellerslie North",93,75,72,5565,6033,6534,0.016711590296496,0.0124316260566882,0.0110192837465565
520202,"Ellerslie South",39,12,15,1776,1923,2133,0.0219594594594595,0.0062402496099844,0.0070323488045007
520301,"Mt Wellington Domain",48,45,27,1341,1515,1671,0.0357941834451902,0.0297029702970297,0.0161579892280072
